dataset,part,model,nbits,group_size,layer,sensitivity
c4,attn_in,Ministral-8B-Instruct-2410,2,128,4,1.0076325997943059e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,4,1.5147858357522637e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,4,1.3173271145205945e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,5,1.7952268535736948e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,5,2.0648763165809214e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,5,1.7396503244526684e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,6,2.0685649360530078e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,6,2.539904380682856e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,6,2.0486811990849674e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,7,1.6789876099210232e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,7,2.726893580984324e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,7,2.1192831627558917e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,8,2.8431558166630566e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,8,3.162550856359303e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,8,2.506938180886209e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,9,3.8356680306605995e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,9,3.583443758543581e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,9,2.788883284665644e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,10,3.584044170565903e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,10,4.0376774268224835e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,10,3.253856848459691e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,11,3.0113873071968555e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,11,4.151503962930292e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,11,2.90453783236444e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,12,2.401382225798443e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,12,4.3731494224630296e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,12,3.250442096032202e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,13,3.349062171764672e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,13,4.4781123870052397e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,13,3.2268394716084003e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,14,3.82063677534461e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,14,5.011085886508226e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,14,3.7612870801240206e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,15,5.288418033160269e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,15,6.217904738150537e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,15,4.6083496999926865e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,16,4.475500318221748e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,16,6.855580722913146e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,16,5.402591777965426e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,17,5.496874800883234e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,17,7.403489435091615e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,17,6.184150115586817e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,18,3.254233452025801e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,18,7.570353336632252e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,18,6.6301942570135e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,19,3.553577116690576e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,19,7.698992849327624e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,19,6.452035740949214e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,20,4.265343595761806e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,20,8.49361065775156e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,20,7.402282790280879e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,21,3.74103692593053e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,21,9.77272866293788e-4
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,21,8.676859433762729e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,22,7.574732881039381e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,22,0.0010680269915610552
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,22,9.697839850559831e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,23,2.8971268329769373e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,23,0.0010791620006784797
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,23,8.883355185389519e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,24,2.808355202432722e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,24,0.0011537282261997461
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,24,8.970573544502258e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,25,9.798138635233045e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,25,0.0012722539249807596
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,25,9.654179448261857e-4
c4,attn_in,Ministral-8B-Instruct-2410,2,128,26,5.872793844901025e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,26,0.0013983451062813401
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,26,0.0010008977260440588
c4,attn_in,Ministral-8B-Instruct-2410,2,128,27,3.0231423443183303e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,27,0.0015914738178253174
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,27,0.001109184930101037
c4,attn_in,Ministral-8B-Instruct-2410,2,128,28,6.275813211686909e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,28,0.0018143273191526532
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,28,0.0013175455387681723
c4,attn_in,Ministral-8B-Instruct-2410,2,128,29,0.0010776472045108676
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,29,0.0020781082566827536
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,29,0.0015139234019443393
c4,attn_in,Ministral-8B-Instruct-2410,2,128,30,7.887078681960702e-4
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,30,0.0024709822610020638
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,30,0.0017425627447664738
c4,attn_in,Ministral-8B-Instruct-2410,2,128,31,0.0017211312660947442
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,31,0.002891743090003729
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,31,0.0021036153193563223
c4,attn_in,Ministral-8B-Instruct-2410,2,128,32,0.0022369828075170517
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,32,0.00404498353600502
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,32,0.0031993912998586893
c4,attn_in,Ministral-8B-Instruct-2410,2,128,33,0.0036859132815152407
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,33,0.0064246091060340405
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,33,0.004658176098018885
c4,attn_in,Ministral-8B-Instruct-2410,2,128,34,0.0052094231359660625
