dataset,part,model,nbits,group_size,layer,sensitivity
pileval,mlp_gate,Meta-Llama-3-8B,3,32,18,0.00015182659262791276
pileval,mlp_down,Meta-Llama-3-8B,3,32,18,0.00013590492017101496
pileval,attn_in,Meta-Llama-3-8B,3,32,19,4.0432489186059684e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,19,0.00016031862469390035
pileval,mlp_down,Meta-Llama-3-8B,3,32,19,0.00013747144839726388
pileval,attn_in,Meta-Llama-3-8B,3,32,20,4.8289384722011164e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,20,0.0001755043340381235
pileval,mlp_down,Meta-Llama-3-8B,3,32,20,0.00014974171062931418
pileval,attn_in,Meta-Llama-3-8B,3,32,21,7.438541069859639e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,21,0.0002075549855362624
pileval,mlp_down,Meta-Llama-3-8B,3,32,21,0.00017952226335182786
pileval,attn_in,Meta-Llama-3-8B,3,32,22,6.176935858093202e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,22,0.00021727023704443127
pileval,mlp_down,Meta-Llama-3-8B,3,32,22,0.00018766657740343362
pileval,attn_in,Meta-Llama-3-8B,3,32,23,5.970662459731102e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,23,0.00023789114493411034
pileval,mlp_down,Meta-Llama-3-8B,3,32,23,0.00019401180907152593
pileval,attn_in,Meta-Llama-3-8B,3,32,24,7.64403521316126e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,24,0.0002607516071293503
pileval,mlp_down,Meta-Llama-3-8B,3,32,24,0.0002076457312796265
pileval,attn_in,Meta-Llama-3-8B,3,32,25,9.933624096447602e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,25,0.00029694807017222047
pileval,mlp_down,Meta-Llama-3-8B,3,32,25,0.00021997671865392476
pileval,attn_in,Meta-Llama-3-8B,3,32,26,0.0001215306983795017
pileval,mlp_gate,Meta-Llama-3-8B,3,32,26,0.00034652152680791914
pileval,mlp_down,Meta-Llama-3-8B,3,32,26,0.0002570823999121785
pileval,attn_in,Meta-Llama-3-8B,3,32,27,0.00017058079538401216
pileval,mlp_gate,Meta-Llama-3-8B,3,32,27,0.00042985990876331925
pileval,mlp_down,Meta-Llama-3-8B,3,32,27,0.0003375224769115448
pileval,attn_in,Meta-Llama-3-8B,3,32,28,0.0001916693727253005
