quant_method,dataset,part,model,nbits,group_size,layer,sensitivity
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,19,0.0025222785770893097
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,19,0.002393367001786828
hqq,c4,attn_in,Llama-2-7b-hf,3,128,20,0.0012130317045375705
hqq,c4,attn_out,Llama-2-7b-hf,3,128,20,7.09038635250181e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,20,0.002950349124148488
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,20,0.0029526310972869396
hqq,c4,attn_in,Llama-2-7b-hf,3,128,21,8.859800291247666e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,21,5.539684789255261e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,21,0.0032337538432329893
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,21,0.0029773542191833258
hqq,c4,attn_in,Llama-2-7b-hf,3,128,22,0.0014861207455396652
hqq,c4,attn_out,Llama-2-7b-hf,3,128,22,7.069241255521774e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,22,0.0036563577596098185
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,22,0.0033341178204864264
hqq,c4,attn_in,Llama-2-7b-hf,3,128,23,0.0012101251631975174
hqq,c4,attn_out,Llama-2-7b-hf,3,128,23,6.496669957414269e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,23,0.004081662278622389
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,23,0.0034750052727758884
hqq,c4,attn_in,Llama-2-7b-hf,3,128,24,0.001708566676825285
hqq,c4,attn_out,Llama-2-7b-hf,3,128,24,8.913942147046328e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,24,0.004477445036172867
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,24,0.0036744081880897284
hqq,c4,attn_in,Llama-2-7b-hf,3,128,25,0.0012819335097447038
hqq,c4,attn_out,Llama-2-7b-hf,3,128,25,5.993397790007293e-4
