dataset,part,model,nbits,group_size,layer,sensitivity
pileval,attn_in,Meta-Llama-3-8B,3,128,6,3.959316745749675e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,6,8.340262866113335e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,6,6.685920379823074e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,7,5.5311204050667584e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,7,9.772807970875874e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,7,7.443469075951725e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,8,7.222833664854988e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,8,0.00010692147043300793
pileval,mlp_down,Meta-Llama-3-8B,3,128,8,8.05764357210137e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,9,9.218831837642938e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,9,0.00012140881881350651
pileval,mlp_down,Meta-Llama-3-8B,3,128,9,9.301353566115722e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,10,9.812672215048224e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,10,0.00012259198410902172
pileval,mlp_down,Meta-Llama-3-8B,3,128,10,9.683820826467127e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,11,9.304730338044465e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,11,0.0001325210032518953
pileval,mlp_down,Meta-Llama-3-8B,3,128,11,0.00010169999586651102
pileval,attn_in,Meta-Llama-3-8B,3,128,12,9.665571997174993e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,12,0.00015654671005904675
pileval,mlp_down,Meta-Llama-3-8B,3,128,12,0.0001117443316616118
pileval,attn_in,Meta-Llama-3-8B,3,128,13,0.00013067886175122112
pileval,mlp_gate,Meta-Llama-3-8B,3,128,13,0.000179796785232611
pileval,mlp_down,Meta-Llama-3-8B,3,128,13,0.00013514792954083532
pileval,attn_in,Meta-Llama-3-8B,3,128,14,0.0001610573090147227
pileval,mlp_gate,Meta-Llama-3-8B,3,128,14,0.00021591741824522614
pileval,mlp_down,Meta-Llama-3-8B,3,128,14,0.00015061977319419384
pileval,attn_in,Meta-Llama-3-8B,3,128,15,0.0001418456668034196
pileval,mlp_gate,Meta-Llama-3-8B,3,128,15,0.00024528431822545826
pileval,mlp_down,Meta-Llama-3-8B,3,128,15,0.0001944708201335743
pileval,attn_in,Meta-Llama-3-8B,3,128,16,0.00016813504043966532
pileval,mlp_gate,Meta-Llama-3-8B,3,128,16,0.00024942803429439664
pileval,mlp_down,Meta-Llama-3-8B,3,128,16,0.00020534977375064045
pileval,attn_in,Meta-Llama-3-8B,3,128,17,0.00012597984459716827
pileval,mlp_gate,Meta-Llama-3-8B,3,128,17,0.0002868402807507664
pileval,mlp_down,Meta-Llama-3-8B,3,128,17,0.0002530143246985972
pileval,attn_in,Meta-Llama-3-8B,3,128,18,9.330637112725526e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,18,0.0002802606613840908
pileval,mlp_down,Meta-Llama-3-8B,3,128,18,0.00024243768712040037
pileval,attn_in,Meta-Llama-3-8B,3,128,19,8.462255937047303e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,19,0.00029493283363990486
pileval,mlp_down,Meta-Llama-3-8B,3,128,19,0.00024603947531431913
pileval,attn_in,Meta-Llama-3-8B,3,128,20,9.847572800936177e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,20,0.00032025709515437484
pileval,mlp_down,Meta-Llama-3-8B,3,128,20,0.0002684827777557075
pileval,attn_in,Meta-Llama-3-8B,3,128,21,0.00014511296467389911
pileval,mlp_gate,Meta-Llama-3-8B,3,128,21,0.00037984512164257467
pileval,mlp_down,Meta-Llama-3-8B,3,128,21,0.0003273029869887978
pileval,attn_in,Meta-Llama-3-8B,3,128,22,0.00011807204282376915
pileval,mlp_gate,Meta-Llama-3-8B,3,128,22,0.00039360628579743207
pileval,mlp_down,Meta-Llama-3-8B,3,128,22,0.0003358846006449312
pileval,attn_in,Meta-Llama-3-8B,3,128,23,0.00012726480781566352
pileval,mlp_gate,Meta-Llama-3-8B,3,128,23,0.0004307430062908679
pileval,mlp_down,Meta-Llama-3-8B,3,128,23,0.00034472328843548894
pileval,attn_in,Meta-Llama-3-8B,3,128,24,0.00015033867384772748
pileval,mlp_gate,Meta-Llama-3-8B,3,128,24,0.0004720573197118938
pileval,mlp_down,Meta-Llama-3-8B,3,128,24,0.0003712167090270668
pileval,attn_in,Meta-Llama-3-8B,3,128,25,0.00020724926434922963
pileval,mlp_gate,Meta-Llama-3-8B,3,128,25,0.000540265697054565
pileval,mlp_down,Meta-Llama-3-8B,3,128,25,0.00039056316018104553
pileval,attn_in,Meta-Llama-3-8B,3,128,26,0.00024855206720530987
pileval,mlp_gate,Meta-Llama-3-8B,3,128,26,0.0006374304066412151
pileval,mlp_down,Meta-Llama-3-8B,3,128,26,0.00045263979700393975
pileval,attn_in,Meta-Llama-3-8B,3,128,27,0.00034877320285886526
pileval,mlp_gate,Meta-Llama-3-8B,3,128,27,0.0007989597506821156
pileval,mlp_down,Meta-Llama-3-8B,3,128,27,0.0005988561897538602
pileval,attn_in,Meta-Llama-3-8B,3,128,28,0.00040488046943210065
pileval,mlp_gate,Meta-Llama-3-8B,3,128,28,0.0011075454531237483
pileval,mlp_down,Meta-Llama-3-8B,3,128,28,0.000816645217128098
pileval,attn_in,Meta-Llama-3-8B,3,128,29,0.0006047611823305488
pileval,mlp_gate,Meta-Llama-3-8B,3,128,29,0.0015858282567933202
pileval,mlp_down,Meta-Llama-3-8B,3,128,29,0.0012886340264230967
pileval,attn_in,Meta-Llama-3-8B,3,128,30,0.0014397588092833757
pileval,mlp_gate,Meta-Llama-3-8B,3,128,30,0.0029372218996286392
pileval,mlp_down,Meta-Llama-3-8B,3,128,30,0.003155418438836932
pileval,attn_in,Meta-Llama-3-8B,3,128,31,0.001565116224810481
pileval,mlp_gate,Meta-Llama-3-8B,3,128,31,0.012973355129361153
pileval,mlp_down,Meta-Llama-3-8B,3,128,31,0.47053632140159607
wikitext,attn_in,Meta-Llama-3-8B,3,128,0,1.388395503454376e-06
wikitext,mlp_gate,Meta-Llama-3-8B,3,128,0,2.0594561647158116e-06
wikitext,mlp_down,Meta-Llama-3-8B,3,128,0,9.050738299265504e-06
