model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Llama-2-7b-hf,self_attn.v_proj,27,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,27,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,27,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,27,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,27,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,28,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,28,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,28,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,28,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,28,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,28,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,28,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,29,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,29,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,29,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,29,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,29,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,29,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,29,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,30,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,30,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,30,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,30,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,30,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,30,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,30,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,31,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,31,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,31,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,31,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,31,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
