model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_25,3.25,2109.75244140625,2884,0.7677,0.94762,0.76768,237.6607837677002
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_51,3.51,2154.02587890625,3008,0.77034,0.94964,0.7701999999999999,237.6508097648621
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_13,4.13,2144.76220703125,3042,0.77732,0.95162,0.77736,233.4576680660248
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_25,4.25,2191.71435546875,3344,0.77674,0.95152,0.77678,233.1958498954773
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,4_51,4.51,2465.57373046875,3620,0.77808,0.95142,0.7779200000000001,233.6209921836853
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_13,8.13,2714.65185546875,3620,0.77956,0.95224,0.7794,233.0822467803955
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_25,8.25,2770.38623046875,3560,0.77944,0.95238,0.7793199999999999,232.98550152778623
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,8_51,8.51,2495.12158203125,3132,0.77938,0.95238,0.7794000000000001,1178.9308395385742
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,2_13,2.13,2000.70166015625,2794,0.54566,0.80942,0.54584,233.67407703399655
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,2_25,2.25,2020.72900390625,2794,0.65362,0.89148,0.65358,234.1154944896698
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,2_51,2.51,2058.36865234375,2812,0.70924,0.92356,0.7092,234.45758986473083
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_13,3.13,2100.330078125,2868,0.764,0.94644,0.76406,238.07141017913816
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_25,3.25,2110.93408203125,2902,0.76754,0.94766,0.7673000000000001,237.76792860031128
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,3_51,3.51,2153.65478515625,2988,0.77106,0.95042,0.7711600000000001,237.61684155464167
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_13,4.13,2145.40283203125,3062,0.777,0.9515,0.7771,233.11826300621036
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_25,4.25,2202.07373046875,3342,0.77676,0.95132,0.7769000000000001,233.38784408569336
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,4_51,4.51,2474.29248046875,3636,0.7781,0.9516,0.77818,233.4980900287628
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_13,8.13,2716.57373046875,3636,0.77954,0.95234,0.77938,233.3931579589844
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_25,8.25,2771.66748046875,3562,0.77944,0.9523,0.77924,233.5610737800598
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-2,8_51,8.51,2495.12158203125,3132,0.77938,0.95238,0.7794000000000001,233.547700881958
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,2_13,2.13,2000.97900390625,2754,0.55622,0.81824,0.55626,234.7348837852478
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,2_25,2.25,2020.56103515625,2796,0.6555,0.8932,0.6553199999999999,233.7819263935089
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,2_51,2.51,2060.17919921875,2810,0.70892,0.92306,0.70906,234.632972240448
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,3_13,3.13,2101.814453125,2868,0.76482000000000006,0.94642,0.76486,238.82331466674805
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,3_25,3.25,2112.06494140625,2882,0.76738,0.94776,0.76734,238.0429117679596
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,3_51,3.51,2153.97802734375,3014,0.77146,0.95014,0.77144,237.72275829315183
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,4_13,4.13,2145.29833984375,3062,0.77722,0.9516,0.7770199999999999,233.41958928108212
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,4_25,4.25,2207.43310546875,3362,0.77738,0.9514,0.7775400000000001,233.82289099693295
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,4_51,4.51,2480.26123046875,3628,0.77806,0.95154,0.77796,233.25697684288025
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,8_13,8.13,2717.74560546875,3628,0.77946,0.95228,0.77938,233.27066659927368
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,8_25,8.25,2772.44873046875,3562,0.77942,0.95236,0.7791,233.6501264572144
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-3,8_51,8.51,2495.12158203125,3132,0.77938,0.95238,0.7794000000000001,233.9220802783966
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,2_13,2.13,1998.86083984375,2688,0.54322,0.80858,0.5433000000000001,234.5687522888184
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,2_25,2.25,2023.99365234375,2780,0.6569,0.89384,0.65706,234.02578806877136
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,2_51,2.51,2055.052734375,2816,0.70514,0.9214,0.70518,234.38091707229611
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,3_13,3.13,2097.2685546875,2848,0.7642,0.94576,0.76422,237.8009767532349
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,3_25,3.25,2112.875,2894,0.76798,0.94792,0.7681800000000001,238.101500749588
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,3_51,3.51,2151.86572265625,3014,0.77008,0.94932,0.7698800000000001,237.728542804718
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,4_13,4.13,2148.79345703125,3050,0.77742,0.9518,0.77752,234.0004584789276
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,4_25,4.25,2200.43310546875,3334,0.77756,0.95168,0.7772800000000001,233.68390917778012
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,4_51,4.51,2468.99560546875,3640,0.77794,0.95146,0.77778,234.044602394104
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,8_13,8.13,2715.93310546875,3640,0.77948,0.95238,0.77934,233.1510739326477
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,8_25,8.25,2770.38623046875,3568,0.77944,0.95238,0.7793199999999999,233.60125732421875
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-1,8_51,8.51,2495.12158203125,3134,0.77938,0.95238,0.7794000000000001,234.03772950172424
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,2_13,2.13,2002.15283203125,2662,0.55034,0.81438,0.55058,234.0745759010315
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-2-2,2_25,2.25,2024.02783203125,2738,0.66512,0.89796,0.66496,234.4642603397369
