model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,6,attn.out_proj,3,128,8,128,2.9569754600524902,0.390869140625,1048576
vision,6,attn.out_proj,4,32,8,128,1.0314873456954956,0.5634765625,1048576
vision,6,attn.out_proj,4,64,8,128,1.213257074356079,0.53173828125,1048576
vision,6,attn.out_proj,4,128,8,128,1.3791093826293945,0.515869140625,1048576
vision,6,attn.out_proj,8,32,8,128,0.062484659254550934,1.0634765625,1048576
vision,6,attn.out_proj,8,64,8,128,0.07339458167552948,1.03173828125,1048576
vision,6,attn.out_proj,8,128,8,128,0.08326580375432968,1.015869140625,1048576
vision,6,mlp.c_fc,2,32,8,128,11.321137428283691,1.25390625,4194304
vision,6,mlp.c_fc,2,64,8,128,13.345112800598145,1.126953125,4194304
vision,6,mlp.c_fc,2,128,8,128,15.19054889678955,1.0634765625,4194304
vision,6,mlp.c_fc,3,32,8,128,4.876096725463867,1.75390625,4194304
vision,6,mlp.c_fc,3,64,8,128,5.787827491760254,1.626953125,4194304
vision,6,mlp.c_fc,3,128,8,128,6.6447224617004395,1.5634765625,4194304
vision,6,mlp.c_fc,4,32,8,128,2.274883508682251,2.25390625,4194304
vision,6,mlp.c_fc,4,64,8,128,2.705200433731079,2.126953125,4194304
vision,6,mlp.c_fc,4,128,8,128,3.1192944049835205,2.0634765625,4194304
vision,6,mlp.c_fc,8,32,8,128,0.13802224397659302,4.25390625,4194304
vision,6,mlp.c_fc,8,64,8,128,0.16382257640361786,4.126953125,4194304
vision,6,mlp.c_fc,8,128,8,128,0.18822787702083588,4.0634765625,4194304
vision,6,mlp.c_proj,2,32,8,128,9.22831916809082,1.25390625,4194304
vision,6,mlp.c_proj,2,64,8,128,10.85595703125,1.126953125,4194304
vision,6,mlp.c_proj,2,128,8,128,12.365854263305664,1.0634765625,4194304
vision,6,mlp.c_proj,3,32,8,128,3.9533932209014893,1.75390625,4194304
vision,6,mlp.c_proj,3,64,8,128,4.6597394943237305,1.626953125,4194304
vision,6,mlp.c_proj,3,128,8,128,5.327401638031006,1.5634765625,4194304
vision,6,mlp.c_proj,4,32,8,128,1.8431960344314575,2.25390625,4194304
vision,6,mlp.c_proj,4,64,8,128,2.1744792461395264,2.126953125,4194304
vision,6,mlp.c_proj,4,128,8,128,2.4898157119750977,2.0634765625,4194304
vision,6,mlp.c_proj,8,32,8,128,0.11172773689031601,4.25390625,4194304
vision,6,mlp.c_proj,8,64,8,128,0.13167309761047363,4.126953125,4194304
vision,6,mlp.c_proj,8,128,8,128,0.15014013648033142,4.0634765625,4194304
vision,7,attn.out_proj,2,32,8,128,5.222793102264404,0.3134765625,1048576
vision,7,attn.out_proj,2,64,8,128,6.124635696411133,0.28173828125,1048576
vision,7,attn.out_proj,2,128,8,128,6.949644565582275,0.265869140625,1048576
vision,7,attn.out_proj,3,32,8,128,2.233867883682251,0.4384765625,1048576
vision,7,attn.out_proj,3,64,8,128,2.6194024085998535,0.40673828125,1048576
vision,7,attn.out_proj,3,128,8,128,2.9775078296661377,0.390869140625,1048576
vision,7,attn.out_proj,4,32,8,128,1.0410212278366089,0.5634765625,1048576
vision,7,attn.out_proj,4,64,8,128,1.2222750186920166,0.53173828125,1048576
