type,module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
text,mlp.c_proj.weight,1048576,6,9.261505340418807e-09,0.033207778818905354,0.044143017474564575,0.055641956888137,0.24212640523910522,3.418852076553872
text,mlp.c_proj.weight,1048576,7,8.788958005823133e-09,0.03410288318991661,0.04527599122375307,0.0585367079824184,0.24529995024204254,3.563658370504532
text,mlp.c_proj.weight,1048576,8,1.4041756202232136e-08,0.03505197912454605,0.04640015223994899,0.0606177207827303,0.266728937625885,3.6947691166226
text,mlp.c_proj.weight,1048576,9,1.3743894911044663e-08,0.03569863457232714,0.04690605839714555,0.05989366690623312,0.2770046293735504,3.495399170438296
text,mlp.c_proj.weight,1048576,10,3.499936696016448e-08,0.037364548072218895,0.05020707687363043,0.06711454417555082,0.24239785969257355,3.655921840018199
text,mlp.c_proj.weight,1048576,11,1.3676715759913805e-08,0.0370130455121398,0.05034722601994894,0.06573244456195967,0.14560507237911224,3.351559119010831
vision,attn.in_proj_bias,2304,0,8.548834102839464e-07,1.989284816980356,2.4360129990577737,2.5942579817294926,2.6141254901885986,7.340026409720613
vision,attn.in_proj_bias,2304,1,3.989712809016055e-07,2.153257975578306,2.704618656635288,3.0384976001977906,3.0407326221466064,8.992775928299878
vision,attn.in_proj_bias,2304,2,1.0441161975904834e-05,2.5471885919570765,3.44988419079781,4.024788700962066,4.025486469268799,24.625903826609864
vision,attn.in_proj_bias,2304,3,2.050966486422112e-06,3.0738065886497434,4.23943660545352,4.784989784240704,4.810871124267578,36.355266093926225
vision,attn.in_proj_bias,2304,4,1.2215839888085611e-05,2.921611931324002,4.814125419139866,5.458036354112608,5.48225212097168,63.909554829642964
vision,attn.in_proj_bias,2304,5,5.5062309911591e-07,2.133260700702664,4.267071470737492,4.718826496171916,4.766920566558838,71.35207932904679
vision,attn.in_proj_bias,2304,6,1.8208088476967532e-06,1.8609755671024286,4.1525972032547,4.351643505239473,4.3708062171936035,74.83402303834266
vision,attn.in_proj_bias,2304,7,1.1945812730118632e-06,1.5376790416240649,4.767587562561057,5.011809078598018,5.018049240112305,95.60509143254471
vision,attn.in_proj_bias,2304,8,4.165442533121677e-07,1.879855436086625,4.647604399204256,4.883856939458806,4.939746379852295,95.05277811731342
vision,attn.in_proj_bias,2304,9,4.7328944674518425e-06,2.1173855674266244,4.874634514808703,5.323371037721579,5.3982768058776855,105.42136131991317
vision,attn.in_proj_bias,2304,10,7.854717296140734e-06,2.2626524305343425,4.201009984970093,4.938974716901713,5.028234481811523,95.24908942798594
vision,attn.in_proj_bias,2304,11,1.3282010513648856e-07,0.5305543071031563,3.8291458523273487,4.051336051750153,4.092427730560303,133.43153322876847
vision,attn.in_proj_weight,1769472,0,9.371203466002065e-12,0.058019490614533466,0.0917896564453846,0.14323266197587298,0.3842198848724365,13.266913554885162
vision,attn.in_proj_weight,1769472,1,7.054324235866716e-09,0.05315083097666509,0.07912206126749556,0.10541634523122308,0.18246863782405853,6.101307078003136
vision,attn.in_proj_weight,1769472,2,2.5416551086010486e-09,0.04646025627851494,0.06736081763356963,0.09052297369986499,0.1305217146873474,4.477460231299347
vision,attn.in_proj_weight,1769472,3,6.9921322065624736e-09,0.04581267360597849,0.06479264802485712,0.08655305815635139,0.1542336493730545,4.111430627186889
vision,attn.in_proj_weight,1769472,4,5.276372228024684e-09,0.045618747062981135,0.06407952854782348,0.08366778749450697,0.15378345549106598,3.863795259473395
vision,attn.in_proj_weight,1769472,5,7.741979501929563e-09,0.043717721551656735,0.060788142994048375,0.08068919864072177,0.1598585695028305,3.662594737771652
vision,attn.in_proj_weight,1769472,6,1.4094115208251878e-08,0.044796483404934404,0.06205617725849172,0.08444904857351196,0.18237155675888062,3.6811804565812842
vision,attn.in_proj_weight,1769472,7,1.3380595298428943e-08,0.044898546263575555,0.061887109775096996,0.08380414372235452,0.15981930494308472,3.6017414409883144
vision,attn.in_proj_weight,1769472,8,1.9673769280359465e-09,0.04396033789962531,0.059495723661035504,0.07899674899129129,0.13053978979587555,3.454981528759885
vision,attn.in_proj_weight,1769472,9,9.177864690457227e-09,0.04326465141028167,0.0573250726982955,0.07360039927958756,0.13366597890853882,3.248363753305332
vision,attn.in_proj_weight,1769472,10,2.8077222324895956e-08,0.04320736497640611,0.056831532929092654,0.0704335638590097,0.14661331474781036,3.1943275567099887
