model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,6,attn.out_proj,4,32,8,128,0.9808613061904907,0.88043212890625,1638400
vision,6,attn.out_proj,4,64,8,128,1.1478127241134644,0.830841064453125,1638400
vision,6,attn.out_proj,4,128,8,128,1.301260232925415,0.8060455322265625,1638400
vision,6,attn.out_proj,8,32,8,128,0.05938692018389702,1.66168212890625,1638400
vision,6,attn.out_proj,8,64,8,128,0.06944496184587479,1.612091064453125,1638400
vision,6,attn.out_proj,8,128,8,128,0.07846403121948242,1.5872955322265625,1638400
vision,6,mlp.c_fc,2,32,8,128,10.521049499511719,1.959228515625,6553600
vision,6,mlp.c_fc,2,64,8,128,12.365436553955078,1.7608642578125,6553600
vision,6,mlp.c_fc,2,128,8,128,13.966907501220703,1.66168212890625,6553600
vision,6,mlp.c_fc,3,32,8,128,4.552344799041748,2.740478515625,6553600
vision,6,mlp.c_fc,3,64,8,128,5.393292427062988,2.5421142578125,6553600
vision,6,mlp.c_fc,3,128,8,128,6.171512603759766,2.44293212890625,6553600
vision,6,mlp.c_fc,4,32,8,128,2.13818097114563,3.521728515625,6553600
vision,6,mlp.c_fc,4,64,8,128,2.5444836616516113,3.3233642578125,6553600
vision,6,mlp.c_fc,4,128,8,128,2.9294300079345703,3.22418212890625,6553600
vision,6,mlp.c_fc,8,32,8,128,0.12964332103729248,6.646728515625,6553600
vision,6,mlp.c_fc,8,64,8,128,0.15454712510108948,6.4483642578125,6553600
vision,6,mlp.c_fc,8,128,8,128,0.17800770699977875,6.34918212890625,6553600
vision,6,mlp.c_proj,2,32,8,128,8.569993019104004,1.959228515625,6553600
vision,6,mlp.c_proj,2,64,8,128,10.068914413452148,1.7608642578125,6553600
vision,6,mlp.c_proj,2,128,8,128,11.464798927307129,1.66168212890625,6553600
vision,6,mlp.c_proj,3,32,8,128,3.674302339553833,2.740478515625,6553600
vision,6,mlp.c_proj,3,64,8,128,4.336153030395508,2.5421142578125,6553600
