layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
1,self_attn.q_proj,2,128,8,128,61.40625,4.25390625,16777216,9.506592860422105,0.08048206904105294,1.451772841392e-4
1,self_attn.q_proj,3,32,8,128,20.640625,7.015625,16777216,9.506592860422105,0.08048206904105294,3.019787754965364e-6
1,self_attn.q_proj,3,64,8,128,25.1875,6.5078125,16777216,9.506592860422105,0.08048206904105294,5.622877779387636e-6
1,self_attn.q_proj,3,128,8,128,31.21875,6.25390625,16777216,9.506592860422105,0.08048206904105294,8.130258720484562e-6
1,self_attn.q_proj,4,32,8,128,9.6796875,9.015625,16777216,9.506592860422105,0.08048206904105294,8.741732813177805e-7
1,self_attn.q_proj,4,64,8,128,11.8984375,8.5078125,16777216,9.506592860422105,0.08048206904105294,1.1230303016418477e-6
1,self_attn.q_proj,4,128,8,128,14.8671875,8.25390625,16777216,9.506592860422105,0.08048206904105294,2.3217321540869307e-6
1,self_attn.q_proj,8,32,8,128,0.5859375,17.015625,16777216,9.506592860422105,0.08048206904105294,5.629629651338064e-9
1,self_attn.q_proj,8,64,8,128,0.72021484375,16.5078125,16777216,9.506592860422105,0.08048206904105294,8.180194299711731e-9
1,self_attn.q_proj,8,128,8,128,0.896484375,16.25390625,16777216,9.506592860422105,0.08048206904105294,1.0317758203370886e-8
1,self_attn.v_proj,2,32,8,128,16.875,5.015625,16777216,4.8384166345295005,0.5676252223087879,4.704909224528819e-5
1,self_attn.v_proj,2,64,8,128,20.203125,4.5078125,16777216,4.8384166345295005,0.5676252223087879,9.536586730973796e-5
1,self_attn.v_proj,2,128,8,128,23.109375,4.25390625,16777216,4.8384166345295005,0.5676252223087879,1.451772841392e-4
1,self_attn.v_proj,3,32,8,128,7.25390625,7.015625,16777216,4.8384166345295005,0.5676252223087879,3.019787754965364e-6
1,self_attn.v_proj,3,64,8,128,8.7421875,6.5078125,16777216,4.8384166345295005,0.5676252223087879,5.622877779387636e-6
1,self_attn.v_proj,3,128,8,128,10.15625,6.25390625,16777216,4.8384166345295005,0.5676252223087879,8.130258720484562e-6
1,self_attn.v_proj,4,32,8,128,3.384765625,9.015625,16777216,4.8384166345295005,0.5676252223087879,8.741732813177805e-7
1,self_attn.v_proj,4,64,8,128,4.08203125,8.5078125,16777216,4.8384166345295005,0.5676252223087879,1.1230303016418477e-6
1,self_attn.v_proj,4,128,8,128,4.7421875,8.25390625,16777216,4.8384166345295005,0.5676252223087879,2.3217321540869307e-6
1,self_attn.v_proj,8,32,8,128,0.204833984375,17.015625,16777216,4.8384166345295005,0.5676252223087879,5.629629651338064e-9
1,self_attn.v_proj,8,64,8,128,0.246826171875,16.5078125,16777216,4.8384166345295005,0.5676252223087879,8.180194299711731e-9
1,self_attn.v_proj,8,128,8,128,0.285888671875,16.25390625,16777216,4.8384166345295005,0.5676252223087879,1.0317758203370886e-8
1,self_attn.k_proj,2,32,8,128,45.3125,5.015625,16777216,9.93537137402608,0.18441897366503976,4.704909224528819e-5
1,self_attn.k_proj,2,64,8,128,53.53125,4.5078125,16777216,9.93537137402608,0.18441897366503976,9.536586730973796e-5
1,self_attn.k_proj,2,128,8,128,62.75,4.25390625,16777216,9.93537137402608,0.18441897366503976,1.451772841392e-4
1,self_attn.k_proj,3,32,8,128,20.390625,7.015625,16777216,9.93537137402608,0.18441897366503976,3.019787754965364e-6
1,self_attn.k_proj,3,64,8,128,24.9375,6.5078125,16777216,9.93537137402608,0.18441897366503976,5.622877779387636e-6
1,self_attn.k_proj,3,128,8,128,31.53125,6.25390625,16777216,9.93537137402608,0.18441897366503976,8.130258720484562e-6
1,self_attn.k_proj,4,32,8,128,9.53125,9.015625,16777216,9.93537137402608,0.18441897366503976,8.741732813177805e-7
1,self_attn.k_proj,4,64,8,128,11.7109375,8.5078125,16777216,9.93537137402608,0.18441897366503976,1.1230303016418477e-6
1,self_attn.k_proj,4,128,8,128,14.875,8.25390625,16777216,9.93537137402608,0.18441897366503976,2.3217321540869307e-6
1,self_attn.k_proj,8,32,8,128,0.5771484375,17.015625,16777216,9.93537137402608,0.18441897366503976,5.629629651338064e-9
1,self_attn.k_proj,8,64,8,128,0.7080078125,16.5078125,16777216,9.93537137402608,0.18441897366503976,8.180194299711731e-9
1,self_attn.k_proj,8,128,8,128,0.896484375,16.25390625,16777216,9.93537137402608,0.18441897366503976,1.0317758203370886e-8
1,self_attn.o_proj,2,32,8,128,12.671875,5.015625,16777216,26.69787713965271,0.6433320035767304,2.4071463485597633e-5
1,self_attn.o_proj,2,64,8,128,14.9140625,4.5078125,16777216,26.69787713965271,0.6433320035767304,3.4641518141143024e-5
1,self_attn.o_proj,2,128,8,128,17.015625,4.25390625,16777216,26.69787713965271,0.6433320035767304,4.7759738663444296e-5
1,self_attn.o_proj,3,32,8,128,5.4765625,7.015625,16777216,26.69787713965271,0.6433320035767304,5.1959732445538975e-6
1,self_attn.o_proj,3,64,8,128,6.51171875,6.5078125,16777216,26.69787713965271,0.6433320035767304,8.069297109614126e-6
1,self_attn.o_proj,3,128,8,128,7.55859375,6.25390625,16777216,26.69787713965271,0.6433320035767304,1.2794391295756212e-5
1,self_attn.o_proj,4,32,8,128,2.564453125,9.015625,16777216,26.69787713965271,0.6433320035767304,1.2623348766283016e-6
1,self_attn.o_proj,4,64,8,128,3.056640625,8.5078125,16777216,26.69787713965271,0.6433320035767304,1.9699409676832147e-6
1,self_attn.o_proj,4,128,8,128,3.572265625,8.25390625,16777216,26.69787713965271,0.6433320035767304,3.3071585221478017e-6
1,self_attn.o_proj,8,32,8,128,0.155517578125,17.015625,16777216,26.69787713965271,0.6433320035767304,4.5453871777567664e-9
1,self_attn.o_proj,8,64,8,128,0.1849365234375,16.5078125,16777216,26.69787713965271,0.6433320035767304,7.592066531003638e-9
1,self_attn.o_proj,8,128,8,128,0.2156982421875,16.25390625,16777216,26.69787713965271,0.6433320035767304,1.2954202155412986e-8
1,mlp.gate_proj,2,32,8,128,45.71875,13.4794921875,45088768,6.280002848563622,0.5859741885296467,0.1276182383298874
1,mlp.gate_proj,2,64,8,128,53.65625,12.11474609375,45088768,6.280002848563622,0.5859741885296467,0.02396304346621036
1,mlp.gate_proj,2,128,8,128,61.125,11.432373046875,45088768,6.280002848563622,0.5859741885296467,0.011554597876966
1,mlp.gate_proj,3,32,8,128,19.609375,18.8544921875,45088768,6.280002848563622,0.5859741885296467,8.488156890962273e-5
1,mlp.gate_proj,3,64,8,128,23.125,17.48974609375,45088768,6.280002848563622,0.5859741885296467,2.3556474843644537e-5
1,mlp.gate_proj,3,128,8,128,26.546875,16.807373046875,45088768,6.280002848563622,0.5859741885296467,2.238454617327e-4
1,mlp.gate_proj,4,32,8,128,9.15625,24.2294921875,45088768,6.280002848563622,0.5859741885296467,9.912624591379426e-6
1,mlp.gate_proj,4,64,8,128,10.8046875,22.86474609375,45088768,6.280002848563622,0.5859741885296467,3.190103598171845e-5
1,mlp.gate_proj,4,128,8,128,12.4140625,22.182373046875,45088768,6.280002848563622,0.5859741885296467,1.4629394172516186e-5
1,mlp.gate_proj,8,32,8,128,0.5546875,45.7294921875,45088768,6.280002848563622,0.5859741885296467,6.850477234365826e-7
1,mlp.gate_proj,8,64,8,128,0.65380859375,44.36474609375,45088768,6.280002848563622,0.5859741885296467,7.333440521506418e-7
1,mlp.gate_proj,8,128,8,128,0.74951171875,43.682373046875,45088768,6.280002848563622,0.5859741885296467,4.134838889058301e-7
1,mlp.up_proj,2,32,8,128,42.84375,13.4794921875,45088768,3.4447561314119977,0.065165138963945,0.1276182383298874
1,mlp.up_proj,2,64,8,128,49.96875,12.11474609375,45088768,3.4447561314119977,0.065165138963945,0.02396304346621036
1,mlp.up_proj,2,128,8,128,56.375,11.432373046875,45088768,3.4447561314119977,0.065165138963945,0.011554597876966
