model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-2,13.8106,19.4588,3.67,3.66,3.706468105316162,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-2,12.5541,18.5966,3.72,3.71,3.0272884368896484,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-2,10.0384,14.359,6.17,6.13,8.325087547302246,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-2,10.3278,15.3285,5.95,5.93,10.438029050827026,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-2,8.693,12.0391,10.31,10.3,20.5791654586792,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-2,9.2856,13.6242,6.45,6.37,9.188554763793944,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-2,8.5368,11.937,10.52,10.5,19.589141845703125,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-2,9.1259,12.469,10.35,10.26,21.470040321350098,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-2,10.3726,14.8117,6.01,6,10.23829174041748,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-2,12.3745,17.5848,3.77,3.77,3.2712295055389404,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-2,8.5569,13.2958,9.93,9.84,22.890414714813232,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-2,9.4082,13.8083,6.22,6.15,9.535375118255615,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-2,8.5056,11.898,10.8,10.78,19.48755788803101,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-3,9.3637,13.7047,6.32,6.25,7.957371234893799,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-3,8.8708,12.8604,10.07,9.98,22.18706083297729,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-3,12.4255,17.7743,3.72,3.72,2.846707344055176,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-3,11.9649,17.3473,3.84,3.83,2.774712562561035,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-3,14.93,20.8112,3.65,3.64,3.076554775238037,2000000000
