model,algo,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_33,3.33,2115.92138671875,2932,0.76308,0.94524,0.76292,251.3493690490723,2065.4619140625,2442,0.79462,0.95482,0.7945399999999999,96.01601362228394
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_40,3.4,2121.57275390625,2958,0.76422,0.9459,0.76444,251.08874702453613,2095.458984375,2590,0.79638,0.95486,0.7964600000000001,99.07187056541444
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_28,4.28,2152.16845703125,3046,0.77676,0.95126,0.7765,247.6219892501831,2125.3076171875,8976,0.80324,0.95752,0.8032999999999999,92.1231610774994
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_33,4.33,2151.53076171875,3046,0.77712,0.95116,0.7770199999999999,247.09485745429996,5780.126953125,8976,0.80318,0.95744,0.8032,4848.67263174057
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_37,4.37,2157.66162109375,3058,0.77666,0.95146,0.7768400000000001,246.9352788925171,2138.501953125,9468,0.80274,0.95774,0.8027000000000001,90.3706829547882
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_42,4.42,2155.98193359375,3058,0.77718,0.95146,0.7773199999999999,246.3720235824585,5794.34375,9468,0.8034,0.95724,0.80334,4827.254663228989
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_46,4.46,2162.28759765625,3124,0.77748,0.9513,0.77726,246.551632642746,5797.0244140625,9452,0.80416,0.9577,0.8039200000000001,4949.785306453705
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_73,4.73,2195.9306640625,3124,0.7774,0.95134,0.7771800000000001,247.1677258014679,1686.16259765625,1758,0.80236,0.95814,0.8023,79.41548132896423
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,4_95,4.95,2216.939453125,3302,0.77694,0.95126,0.77712,246.9272096157074,1702.58935546875,1778,0.80236,0.95814,0.8023,78.34278130531311
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,5_00,5,2398.791015625,3420,0.77688,0.95142,0.77704,246.6440756320953,2408.041015625,2706,0.80282,0.9582,0.8027000000000001,89.75235366821289
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,7_48,7.48,2589.8935546875,3562,0.77722,0.95146,0.77738,246.27827095985413,2595.1279296875,2786,0.8036,0.95768,0.8036,84.02168917655945
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,7_56,7.56,2600.0849609375,3562,0.77656,0.95158,0.7765,246.5051016807556,2605.9443359375,2826,0.8029,0.95814,0.80282,87.96886658668518
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,7_64,7.64,2611.8447265625,3500,0.77678,0.95162,0.7769400000000001,247.2195603847504,2617.5947265625,2784,0.80312,0.95798,0.80296,85.02706289291382
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,7_72,7.72,2621.0166015625,3500,0.7774,0.95164,0.7770199999999999,246.9220278263092,2628.2666015625,2764,0.80252,0.95808,0.80244,85.15818667411804
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,7_80,7.8,2404.02001953125,2968,0.77708,0.95178,0.77696,249.7998857498169,1912.86865234375,2016,0.8036,0.95824,0.80366,81.83852958679199
CLIP-ViT-L-14-laion2B-s32B-b82K,fp16,base,16,2642.55908203125,5566,0.75248,0.94254,0.7524000000000001,270.4265851974488,5591.7451171875,7674,0.79852,0.95564,0.7987000000000001,4094.162350416184
