model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-2-2,7.0737,11.1296,5.64,5.62,24.522157669067383,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-2-2,4.9724,6.9175,6.25,6.18,44.49570608139038,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-2-2,5.1398,7.117,5.75,5.68,44.9881284236908,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-2-2,6.0735,9.4071,5.72,5.69,27.28687620162964,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-2-2,5.5972,7.5215,3.92,3.88,21.60616111755371,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-2-2,5.3396,7.1573,3.67,3.62,21.376001834869385,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-2-2,7.7724,12.303,5.03,5.01,27.185628175735477,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-2-2,4.6966,6.535,7.28,7.18,38.71561098098755,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-2-2,5.2782,7.0678,4.11,4.06,18.651520252227783,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-2-2,5.3031,7.1098,3.93,3.88,19.76250028610229,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-2-2,5.7837,7.7744,3.34,3.34,22.375768423080444,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-2-2,4.6903,6.5108,7.59,7.55,37.41363286972046,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-2-2,6.1897,9.6009,5.49,5.49,26.030261039733887,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-2-2,9.284,14.887,4.73,4.72,29.72691535949707,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-2-2,4.8793,6.7671,7.28,7.25,43.71277093887329,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-2-2,6.168,8.3122,3.16,3.09,23.612961053848267,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-2-2,6.3729,9.9307,5.32,5.32,31.150367975234985,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-2-3,4.7316,6.5645,6.78,6.75,40.49634766578674,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-2-3,7.0614,11.1026,5.64,5.61,24.44547843933105,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-2-3,4.9652,6.9086,6.26,6.2,44.41846990585327,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-2-3,5.1311,7.1092,5.79,5.72,45.08025169372559,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-2-3,6.0715,9.4061,5.74,5.72,28.08599305152893,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-2-3,5.6029,7.4976,3.92,3.87,21.89291286468506,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-2-3,5.3366,7.155,3.67,3.63,21.347572803497314,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-2-3,7.7543,12.2906,5.03,5.02,27.061971187591556,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-2-3,4.6945,6.534,7.42,7.31,38.69563579559326,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-2-3,5.279,7.0625,4.18,4.13,18.551687955856323,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-2-3,5.2966,7.1064,4,3.95,19.844430208206177,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-2-3,5.7858,7.7467,3.35,3.34,22.472647666931152,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-2-3,4.6887,6.5092,7.72,7.67,37.388986110687256,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-2-3,6.1887,9.5922,5.51,5.51,25.83255934715271,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-2-3,9.2694,14.8297,4.74,4.73,29.62090277671814,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-2-3,4.8739,6.7621,7.27,7.24,44.01537895202637,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-2-3,6.1656,8.3402,3.18,3.11,23.336825609207157,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-2-3,6.3748,9.9201,5.32,5.32,30.46996068954468,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-3-0,4.7309,6.5612,7.25,7.2,42.96782374382019,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-3-0,7.0549,11.0915,5.65,5.62,24.47019052505493,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-3-0,4.9631,6.9049,6.28,6.22,56.641212940216064,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-3-0,5.1094,7.084,5.76,5.69,57.40641713142395,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-3-0,6.0743,9.4088,5.75,5.72,27.109673500061035,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-3-0,5.6028,7.5111,3.93,3.89,21.39817786216736,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-3-0,5.3332,7.1476,3.91,3.86,21.073025703430176,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-3-0,7.7499,12.3179,5.03,5.02,26.8139705657959,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-3-0,4.693,6.5332,7.49,7.39,40.07583665847778,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-3-0,5.2799,7.0672,4.2,4.15,18.558586597442627,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-3-0,5.3031,7.1081,4.01,3.96,19.742680549621586,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-3-0,5.785,7.7497,3.36,3.35,22.318740129470825,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-3-0,4.6876,6.5089,7.81,7.77,37.569923639297485,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-3-0,6.1896,9.5973,5.52,5.52,25.43593668937683,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-3-0,9.2296,14.7668,4.73,4.72,29.53720021247864,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-3-0,4.8794,6.7564,7.3,7.27,52.40567994117737,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-3-0,6.1423,8.3109,3.15,3.08,23.491716861724854,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-3-0,6.3713,9.9167,5.41,5.41,30.62585139274597,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-3-1,4.7347,6.5684,6.89,6.86,40.37469434738159,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-3-1,7.0728,11.1395,5.65,5.62,24.70079469680786,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-3-1,4.978,6.9288,6.24,6.17,44.33651947975159,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-3-1,5.1413,7.1244,5.69,5.63,45.41704058647156,13000000000
